id,tweet_id,customer_text,intent
31,2987499,"anyone having issues with #osx #HighSierra and #Slack, #zoom or Multiple monitors? Getting major lag. @115858  @118190  @172377 #DevLife",Software / iOS Update
32,644204,@AppleSupport Its finally working itself out. Still some issues but not this bad now.,Other / Unclear
33,543644,@AppleSupport see above,Other / Unclear
34,2364562,"Extremely disappointed with @115858 @AppleSupport 
I have been loyal for years but right now I wish I wasn’t.",Complaint / Feedback
35,1331930,"@AppleSupport, hi the battery in an iphone 6s last about 6 hours after the last update. As a final note it has a new original battery that was changed through a program you had last September to the battery in some iphone 6s",Battery / Charging
36,1538030,@AppleSupport hello it is taking a long time for my Apple ID to be set up on the #iPhoneX so it your servers regards,Account / Apple ID
37,1772857,Is anyone else having a bizarre issue with @115858 #AppleWatches where your watch face displays random photos it isn’t supposed to? They’re definitely NOT supposed to be displaying. Why is my watch doing this? @287031 @73489,Device / Hardware Problem
38,1692570,@115858 3 days ago i got my iphone x and is it normal that it tooks 4+ hrs for a full charge.. is it normal I'm really concerned l. plz reply,Battery / Charging
39,2925628,@115858 needs to update their shit my phone keeps freezing and safari is slower than dirt it’s ridiculous,Device / Hardware Problem
40,594687,@AppleSupport My computer has been installing the latest update pre login for a long time approximately 2 hours. What is the expected wait time? Or is there an issue with the update?,Software / iOS Update
41,2903680,@AppleSupport why new iOS on IPhone 8 keeps forgetting my WiFi and then I have to reset network settings 5 times a day?,Connectivity
42,2205748,@AppleSupport Any way to check the overall battery health of my iPhone 6s?,Battery / Charging
43,912841,@AppleSupport Just get no connection when using. https://t.co/hoy4LnRnyF,Connectivity
44,2479062,"@AppleSupport hi am having problems with battery in iPhone 5s. Battery charge percentage changes a lot, says I have 18% then 60% when plugin",Battery / Charging
45,1905818,@AppleSupport battery life has bever been this shitty on any electronic device ive ever used. Fix it quick.,Battery / Charging
46,1785459,@115858 @AppleSupport  iOS 11 make ipad run slow.,Software / iOS Update
47,1595003,@AppleSupport please help with these I️ I️ I️ I️ I️ I️ I️ ... it’s driving me insane 😑,Other / Unclear
48,1037470,@AppleSupport Oh hey um....where is the video option? 😅 https://t.co/tObiKu1OQd,Other / Unclear
49,1999919,@591287 @AppleSupport I swear I turn it off at least 10 times while at work because it always flips back on asking me to join a network.,Connectivity
50,2728284,"@AppleSupport Checked time- battery at 54%, checked again 5 minutes later, it was down to 13%. Phone was doing nothing in between. This only happened since installing ios 11. I’ve done all I can think of to reduce battery drain. Help!!",Battery / Charging
51,2005253,"@115858 , this started happening after the update. What’s happening??? I’m ready to throw my phone out the window",Software / iOS Update
52,2668959,"Can’t make or receive calls, a black screen for over an hour yesterday on my iPhone X. Thanks @AppleSupport",Device / Hardware Problem
53,2300667,@AppleSupport It's an iPhone 7 iOS 10.3.3 (although it was doing this when my phone was up to date on software as well) I don't get the temp alert on my screen- when I press on anything it won't work (e.g. opening an app) so I lock it and then it's just a gradient orange screen,Device / Hardware Problem
54,2686658,@AppleSupport  https://t.co/rpeBYtGJQT,Other / Unclear
55,2111408,"@AppleSupport this sounds weird.
Whenever I create PDF of Web page from Safari(Save PDF to iBooks) this app(Office to PDF) downloads automatically(No fingerprint,no password,no prompts)
Happened 3 times on 3 different days!
STRANGE!

https://t.co/ptVCZb9RZ4 https://t.co/iA21AiClz1",App Problem
56,1803136,"Thanks @115858 for the OIS update. Can’t change my ringer volume, no sound in SC videos with ringer off smh",Device / Hardware Problem
57,743808,"@AppleSupport just updated ios11.0.2 on my iPhone 7. Nothing works, phone hangs, stops working, shuts off, app freezes. What's going on?",Software / iOS Update
58,2185163,@AppleSupport Hey @AppleSupport i updated to ios11.0.3 but nothing much have changed. Where is the setting to save screenshots directly to photos in ios11,Software / iOS Update
59,489713,@115858 fix your podcast app. This update is awful and I hate it with a passion I never thought I could have for an app #podcast #applepodcasts #updatefail,App Problem
60,2255483,@AppleSupport Nope but whenever I connect it to my laptop on iTunes it says error connecting to iPhone. I'm about to wipe my thing because according to everyone that's all you can do unless you use iCloud 😐,Connectivity
61,742517,@AppleSupport iPhone 6S and iOS 11.0.2,Software / iOS Update
62,2942895,@115858 every time I️ use the letter “I️” on my keyboard I️t turns into some weird symbol. IM PISSED,Software / iOS Update
63,1683465,@AppleSupport My phone is using data to back up to icloud every morning in the 2 am hour. How do I prevent this usage?????,Apple Services
64,2304638,"Every time I receive a Snapchat notification, my music pauses 🙃 #iOS11struggles @AppleSupport",Messaging / Notifications
65,514774,"@AppleSupport Our Safari browsers since the last Apple security update, keep crashing,  the minute you open Safari it crashes, we keep sending in the reports.   Is there a problem with the last security update that would do this?",Software / iOS Update
66,1569675,"@AppleSupport
Is iPad (Gen4)128GB WiFi+4G LTE getting an upgrade from Buggy iOS 10.3.3 or is @115858 just moving on to iOS11 &amp; won't fix it?!",Software / iOS Update
67,2057178,hey @AppleSupport kind of sus that my phone stops working out of nowhere right as the new iphones are coming out,Device / Hardware Problem
68,676046,"If I pay for @115948 @115858 I expect my downloaded playlist to not disappear when there’s an iPhone update, SO GET IT TOGETHER😡",Software / iOS Update
69,2893364,Deleted a whole message feed by accident and I can’t get them back😭 any help? I didn’t back up my phone either @AppleSupport,Messaging / Notifications
70,1482441,@AppleSupport same result https://t.co/RLmsqNKfkX,Other / Unclear
71,2286701,@AppleSupport can I update my iMessage apps?,Messaging / Notifications
72,427842,. @AppleSupport search in messages ain’t working post update. Please look into it. #iphone6s #ios11.0.2,Messaging / Notifications
73,552091,@AppleSupport Yes we did,Other / Unclear
74,1717403,@AppleSupport @115858 I need to know just 2 things. Has the #Iphone10 a #Backbutton ? Can you place the cursor anywhere in a word without a long press?,Device / Hardware Problem
75,2583152,"@AppleSupport ever since i updated to ios 11 my apple music isnt working properly. i cant add, delete or download any songs and it freezes whenever i try to make new playlists",Apple Services
76,1496722,"@AppleSupport i can’t purchase diamond in mobile legend, how to fix it? https://t.co/0C0Lq6weMQ",Purchase / Activation
77,427089,@216585 @173329 @AppleSupport I've lost patience trying to update. Will just wait for it to pop up.,Software / iOS Update
78,1027575,"@AppleSupport I'm not sure what the goal was with this new update, but my phone has been giving me problems for the last 30+ hours....",Software / iOS Update
79,2565787,@727915 @711172 @AppleSupport I updated mine and it didn’t fix it,Software / iOS Update
80,2381413,hey @AppleSupport My find my iphone alert just randomly went off... any ideas as of why?,Other / Unclear
81,1895628,@AppleSupport do you have a complaints email,Complaint / Feedback
82,1246460,@115858 @AppleSupport who can I chat/ contact about an issue I had with the @17425 not honoring my AppleCare+?,Purchase / Activation
83,2304867,@AppleSupport so I’m seeing this mark where the letter I should be (Iphone 7 iOS 11.1.1) https://t.co/4LMTFZ5bh0,Device / Hardware Problem
84,1625389,@AppleSupport. My iphone 7 plus is heating after i watch youtube videos for around 10 mins after updating to ios 11.1. Pls help,Battery / Charging
85,1828573,@115858 get your shit together. iOS 11 has fucked my brand new 7+ up. I have to reset at least 15x a day.,Software / iOS Update
86,2787814,"@AppleSupport Both , apps freeze and throw me out , the device freezes and the screen goes black and doesn’t respond , the speaker stops working on phone calls and I have to turn it on and off to get it back , camera roll pictures don’t load &amp; the mini screen for music disappears a lot",Device / Hardware Problem
87,1181512,"@AppleSupport Why when I take a screenshot of something, doesn’t matter what it is, it always comes out completely black? An all black pic..",Device / Hardware Problem
88,2578720,ever since the most recent @115858 iOS update my phone hasn’t accurately tracked a single run - not on @38679 or @499151 . today’s run was the Most accurate yet 😾😾😾😾 #christlike https://t.co/cy26PdYSED,Device / Hardware Problem
89,663931,"@AppleSupport If I purchase Apple Care, will my repairs be free? Does Apple Care cover all repairs or only certain kinds.",Purchase / Activation
90,1443335,"@AppleSupport Uh, weirdness after watchOS 4.1 update https://t.co/Q2J6P7OK3l",Software / iOS Update
91,1768800,"@AppleSupport this new update has completely JACKED UP my phone!!! freezes randomly, can’t look at apps while on the phone, hard resets!",Software / iOS Update
92,1692495,i am stressing out so much with this new update. my phone keeps dying on me randomly and the apps keep crashing. please fix this ;( @115858,Software / iOS Update
93,1449284,Just downloaded the iOS 11.0.3 software update and.. none of my downloaded @115948 will play (offline) @AppleSupport SOS 😭 https://t.co/YlSaaB3N0v,Software / iOS Update
94,1649090,@AppleSupport can y’all fix this I️ 🤦🏽‍♀️🤦🏽‍♀️,Other / Unclear
95,2652599,@AppleSupport Can y’all fix that problem,Other / Unclear
96,294909,"@AppleSupport @115858 #ios1102 Problems: draining battery like hell, Constantly Iphone and keyboard freezing, APPS crashing... etc ... HELP!",Battery / Charging
97,2517144,I’m so mad at @115858 and their stupid slow ass update,Software / iOS Update
98,1299557,#apple @AppleSupport @115858 is this legit or is it just someone down the like wanting to make money of me from getting the app? https://t.co/gawICJASVo,Other / Unclear
99,1231296,"@AppleSupport Yes, I’ve tried that a few times and I have tried resetting network settings.",Other / Unclear
100,2079689,"@AppleSupport since updating iOS, I frequently get no service or searching for hours. I’ve restarted, reset network settings, updated iOS",Connectivity
101,1834253,The new apple update slowed down my phone and drains its battery fast...wtf did you do?! @AppleSupport,Software / iOS Update
102,891111,@115858 did the iOS 11.03 update and my battery still sucks. Can we address this issue?? #ios1103 #batterydrain,Battery / Charging
103,1821199,@AppleSupport yo fuck ur update fix this shit my Bluetooth and sound are fucked,Connectivity
104,915186,@AppleSupport Just updated to IOS11.3 and my Apple Music library has gone 😐,Apple Services
105,1762222,Ok but when is @AppleSupport going to fix this stupid I️,Other / Unclear
106,2072153,@AppleSupport 35 minutes waiting to talk to an expert and no answer... The might be still sleeping #applealarmclock https://t.co/D0zDNmslWq,Complaint / Feedback
107,2312105,@AppleSupport are the Air Pods available on student discount in the UK? Went on your site I can't tell,Purchase / Activation
108,1413228,@AppleSupport aye fix my phone. this question marks pissing me off,Other / Unclear
109,2294697,"@AppleSupport the new Mac OS Sierra just messed my laptop up. Finder is not even working, I need an answer",Device / Hardware Problem
110,2112857,Anyone have any idea why my @115858 TV downloaded a new aerial screensaver even though I have set it to never download new ones? Annoyed that my arctic one has gone and been replaced by Dubai #appletv #apple #annoying,Apple Services
111,2304536,.@115858 your latest update is annoying me! My phone is even slower than ever and it has weird autocorrects! 🙄🤬,Software / iOS Update
112,1510543,@AppleSupport Please I really want a refund to my Apple ID...it was paid from my gift balance...,Payment / Billing
113,1721929,@AppleSupport Sort your updates out - I can’t send a text from contacts - shocking how you offer updates that mess up other parts of phone system 👎👎👎👎,Software / iOS Update
114,1433669,"@AppleSupport As I said preciously, the programs that have issues are while playing videos in full screen mode within Safari (YouTube video still works)",App Problem
115,2949595,"@AppleSupport Any ideas what could be causing this issue on my iPhone 6 Plus? Screen becomes unresponsive, flickering bar at the top and sometimes it does its own thing altogether. Phone is near enough unusable. https://t.co/a7okyhH7TE",Device / Hardware Problem
116,288488,@AppleSupport I did my new update now my phone randomly locks and resets itself. Will there be a new update to fix this?,Software / iOS Update
117,2019596,@AppleSupport 1ZE10Y190463677157,Other / Unclear
118,1574416,@115858  @AppleSupport why does this happen? The “I️” is lost https://t.co/0AWUMQJzo5,Other / Unclear
119,2888385,Got a call my CC info &amp; SSN were accessed. Checked all of my stuff and there’s two fake domains in my Passwords that have no site name &amp; won’t delete even when I️ reset my Keychain. @AppleSupport you wanna spot me for a new identity orrr? https://t.co/wb5ru2w4AN,Account / Apple ID
120,1830333,How do you clear newer notifications off of the home screen in the new #iOS? @AppleSupport https://t.co/HMpjMESJL6,Messaging / Notifications
121,708648,@AppleSupport yes i am,Other / Unclear
122,1166191,@AppleSupport iOS 11.0.1 is also just so buggy! Is a fix coming for apps and screen not to freeze while in use?,Software / iOS Update
123,1974582,I left the house with my phone on 58% now it's on fucking 38 @115858 do better,Battery / Charging
124,1582147,"Hey @AppleSupport, what’s up with this? Autocorrect gone wild. https://t.co/QOksxYb1XB",Device / Hardware Problem
125,2679893,@AppleSupport why does FaceID not work for approving Apps requested via iCloud Family Sharing “Ask to Buy”? It only ever asks for me to enter my password unlike TouchID,Account / Apple ID
126,1925137,@115858 what’s wrong with the store app?,App Problem
127,2002343,Hey @AppleSupport fix the problem with the fucking “I️ “. It’s supposed to be I,Connectivity
128,769022,"@AppleSupport Both. It magically turns back on whether at work, home or whoever’s house I’m at and if their WiFi doesn’t work properly, it slows me down.",Connectivity
129,1691807,@AppleSupport cut off AGAIN that’s the second time now - what the hell is going on?,Other / Unclear
130,82056,"@AppleSupport @AppleSupport to unlock my iPhone, it happened every time. Sorry I took so long to answer, had to buy a new one 😕. The old one says Error 9 when trying to restore. Is there a solution?",Other / Unclear
131,908494,"@AppleSupport 6, it lasts about 2 hours after the update.",Battery / Charging
132,853005,"@AppleSupport why does my phone keep connecting to WiFi and Bluetooth randomly? If I wanted to turn it on, I would. iOS 11 problems! 😤",Connectivity
133,2777524,@AppleSupport The iPhone 6 Plus. Can we arrange a call?,Other / Unclear
134,97029,"Is it just me or is the @115858 app store a piece of shit? I rarely use it, but everytime I need to, it's always the biggest pain in the ass!",App Problem
135,1767368,@AppleSupport please send a fix or work around for this: https://t.co/Wwx4Fbb1Ct,Other / Unclear
136,2698050,"my phone is mad glitchy, it freezes, &amp; it keeps erasing all of my pics then they they download &amp; show up in my albums again. @115858 what is going on",Device / Hardware Problem
137,1010504,"@AppleSupport Yes, updated to latest one.",Software / iOS Update
138,1297499,"The closer to the release date of the iPhone X my phone been fucking up so much, I’m onto you @115858",Complaint / Feedback
139,1913176,@AppleSupport MacBook Pro offered new OS so I started the process. Since then I can’t boot. Stuck on the boot screen. https://t.co/z0ujSC753m,Software / iOS Update
140,1570353,@AppleSupport post upgrade to iOS11.1 on my iphone6s I cant make any calls. Tried restoring still no joy super frustrated,Connectivity
141,942750,"I am simply baffled by how badly @115858 @AppleSupport can mess up an order. Wrong keyboard, wrong name on AppleCare. #makeitright 🤦🏻‍♂️",Purchase / Activation
142,1631176,@AppleSupport Can you check DM’s I’m reporting a problem with the new update,Software / iOS Update
143,1557751,"@AppleSupport after upgrading to #iOS11 and 11.0.3 my #iPhone7 become very unstable, always hangs, restarts, the screen never wakes up.. 😭😡😞",Software / iOS Update
144,1767370,@AppleSupport @AppleSupport NOOOO https://t.co/f7ECuCQ9qY,Other / Unclear
145,1697458,@115858 please fix my I’s,Other / Unclear
146,1432492,WHY CANT 👁 TWEET THE LETTER “EYE” @115858 @AppleSupport,Other / Unclear
147,126377,@AppleSupport @144367 @144365 My battery percentage isn’t correct...help?,Connectivity
148,1235660,@AppleSupport It started happening recently. And battery life has started recently too. I don’t have many apps. And I don’t have Bluetooth on either,Other / Unclear
149,1148806,@AppleSupport iPhone 6s and 11.0.3,Other / Unclear
150,2702230,@759026 seems like you need the iPhone fix for the letter ‘I’ so here you go. Now I have issue with ‘it’. Darn @AppleSupport https://t.co/aY0ii64bVv,Software / iOS Update
151,599074,"I upgraded to iOS 11.2 because I got hit by @115858's notifications bug (disabling app notifications between crashes was fun), and now my phone won't start, won't hard reset, won't DFU, nothing. It just displays the red battery icon. @AppleSupport I can't be the only one, right?",Software / iOS Update
152,1725277,👁 am sick of the games @115858 get your shit together,Complaint / Feedback
153,1597288,@AppleSupport whenever texting vowels by themselves it automatically corrects. I️ I️ I️,Device / Hardware Problem
154,2025906,"@AppleSupport I keep my Mac screen colors inverted, but when it wakes in 10.13, it reverts to normal and I can’t invert again w/out reboot.",Device / Hardware Problem
155,2004590,@476174 @AppleSupport Same,Other / Unclear
156,1080426,@AppleSupport Love an automated reply,Complaint / Feedback
157,2036412,"Hey @115858, #Siri sucks. How can @122986 seem to get it right but you can’t? https://t.co/S8Ct3OvzZl",Apple Services
158,817013,@AppleSupport None whatsoever,Other / Unclear
159,1676998,@115858 needs to fix this i️ shit,Other / Unclear
160,1300717,@AppleSupport why do the alarms on my iPhone 6 sound a few minutes late? iOS 11 in airplane mode,Device / Hardware Problem
161,2573884,@AppleSupport Understand it can be done simply on an iMac which is what I use currently. I wanted to get a MacBook Pro but am unable to touch the touch ID button by skin contact. Does the power button also act as physical button that can be pressed without actual skin contact?,Device / Hardware Problem
162,2774271,@AppleSupport why are my lock screen notifications doing this? https://t.co/CP6jXkjwQ8,Messaging / Notifications
163,2295743,@AppleSupport &lt;14 hours after I upgraded my original Apple Watch to WatchOS 4.1: The calendar doesn’t work (says its uninstalled?) and it’s now frozen to the point of needing a hard restart twice. How do I fix this? https://t.co/fPoLnfcGL0,Software / iOS Update
164,1094125,"@AppleSupport Yes, correct. Have turned off/on several times &amp; also reinstalled twitter, but continues to disconnect from WiFi. No other apps affected.",Connectivity
165,2285860,@116333 so far your company hasn’t given me the help needed with my battery issue or answered any of my other issues. @AppleSupport,Complaint / Feedback
166,1516194,And why TF do iPhones make their “I️” into something stupid now @115858,Software / iOS Update
167,790670,@115858 @AppleSupport And latest update does not fix it,Software / iOS Update
168,235805,"@AppleSupport Please help.

1. Please check #iOS11 (issamess🙅🏾): all of our symptoms are there 
2. No need to reboot. It reboots itself constantly 💁🏾 https://t.co/P1yWQNJuwN",Software / iOS Update
169,740982,@115858 the update has fucked up my iPod so thanks for that,Software / iOS Update
170,1484771,"My keyboard is sending out code and when I️ try to open apps they spaz, flicker, and refuse to open. What nonsense is this @AppleSupport ?!",Other / Unclear
171,2008226,How long we gon keep this going 👉🏽👉🏽👉🏽 I️ @AppleSupport,Complaint / Feedback
172,1121700,"Actualice mi iPhone a iOS 11.0.3, con la esperanza de que volviera a vibrar y que se escuchara de manera fluida.  @115858 @AppleSupport https://t.co/J1fl0K1qxs",Software / iOS Update
173,1454551,I most certainly have not trained for 1377 minutes in November yet. 00:00 bug? @59914 @AppleSupport https://t.co/EO933aSqTY,Other / Unclear
174,1367629,"Typing on my iPhone, Awatch on wrist, MacBook on desk and ipad in my bag... trying to complete my reserved order.  @AppleSupport tripping 😐!",Other / Unclear
175,1537680,@AppleSupport Updated to IOS 11 and my screen is frozen but I can still access my notification center (swipe up) but can't restart my phone,Software / iOS Update
176,2040868,@116333 What the hell are you guys doing? These updates are a mess!! Can’t store any data from my music or apps on my device!!,Device / Hardware Problem
177,543746,My phone keeps on restarting itself. @115858 pls fixed this problem asap,Device / Hardware Problem
178,543704,"@115858 
I’d like to thank you for the amazing products you have made over the past few years. 
How ever this is what’s happening to my iphone. Need some help. Thank you Apple. https://t.co/tPlbmGKQfv",Other / Unclear
179,34619,"When searching fot ""GOT"" Apple TV app shows Cmore but not @1561 Nordic, even tho I only have HBO installed. @AppleSupport",Apple Services
180,2422487,@115858 your new update messed up my phone😭 there’s no sound coming out of the speakers😭😭😭,Software / iOS Update
181,656271,@AppleSupport They are not on the same iOS one is 11.0.2 and the other is 11.1.2 I am updating the iPhone 8plus now and Ithink this should fix the problem so both are on the same software version,Software / iOS Update
182,1966712,@582839 @115858 MINE TOO WTF,Other / Unclear
183,1859685,"Out of the blue this. WTF, @115858? https://t.co/WThCmNLAIM",Other / Unclear
184,1644576,"@AppleSupport my laptop won't go to sleep when I close the lid, or wake back up when I open it. Any suggestions on how it can be fixed?",Complaint / Feedback
185,898844,"@applesupport Hi, is there a place on the site to provide feedback about the customer service i've received?",Messaging / Notifications
186,1998523,@115858  @AppleSupport why is it every time I️ type the letter i I️ get a question mark box ?,Other / Unclear
187,883558,@AppleSupport 11.,Other / Unclear
188,1762285,@AppleSupport NECESITO AYUDA,Software / iOS Update
189,1233615,@115858 fix ios11 cause my phone freezing since updating,Software / iOS Update
190,1007139,@AppleSupport 10.3.3,Other / Unclear
191,2731313,@AppleSupport I got a green line on my iPhone screen just got it used this for 1 day how do I return this and get my refund.,Device / Hardware Problem
192,1655585,Hey @AppleSupport when can I️ get my I️ back?,Other / Unclear
193,1871869,WHY WONT MY FUCKING PHONE UPDATE ???!!!!? @115858 ????? Any1 else havin the same issue orrr????,Software / iOS Update
194,2593235,@AppleSupport IOS 11.2,Software / iOS Update
195,2533243,hey @115858 the new update has basically ruined my phone so plz send help,Software / iOS Update
196,2013136,"@AppleSupport Yep, just those apps so far. Happened while phone was unlocked.",App Problem
197,1434354,"@AppleSupport It’s ok, managed to rescue the timeline by adding 2nd screen. Definitely bugs galore on FCP X 10.3.4 on High Sierra!! Fix em pls!",Software / iOS Update
198,2555452,"@AppleSupport Yes, I played only on iOS 10. After the upgrade to iOS 11 I haven’t tried. Today was  the first time and it hasn’t worked",Software / iOS Update
199,2341902,@AppleSupport Thanks for the reply. I’m running 11.1.1 build 15B150. Hope it can be resolved.,Software / iOS Update
200,1997332,@115858 what’s wrong with the letter I️ every time I️ try to type it by itself “A ?” comes up?,Messaging / Notifications
